doc_no,filename,category,date,phase,owner,counterparty,summary,event_code,file_type,estimated_pages
03-009,A-203 - Basement B3 Plan Rev D.pdf,03_drawings,2025-09-05,Design / IFC,Consultant Team,Project Team,"Basement level B3 plan including pump room, tanks, and geotechnical interfaces.",EV-03,application/pdf,3
03-010,A-301 - North and East Elevations Rev D.pdf,03_drawings,2025-09-10,Design / IFC,Consultant Team,Project Team,"Primary façade elevations with material tags, slab edges, and balustrade types.",EV-01,application/pdf,3
03-011,A-302 - South and West Elevations Rev D.pdf,03_drawings,2025-09-10,Design / IFC,Consultant Team,Project Team,Secondary façade elevations including laneway edge and services screens.,EV-01,application/pdf,3
03-012,A-401 - Building Sections 1 and 2 Rev D.pdf,03_drawings,2025-09-10,Design / IFC,Consultant Team,Project Team,"Longitudinal and transverse sections through tower, podium, and basement.",EV-01,application/pdf,3
03-013,A-501 - Lobby and Retail Reflected Ceiling Plan Rev C.pdf,03_drawings,2025-10-04,Design / IFC,Consultant Team,Project Team,Lobby and retail reflected ceiling plan coordinating feature lighting and services.,EV-03,application/pdf,2
03-014,A-601 - Façade Typical Details Rev C.pdf,03_drawings,2025-10-04,Design / IFC,Consultant Team,Project Team,"Façade junctions, balustrade details, sill flashings, and slab edge interfaces.",EV-07,application/pdf,5
03-015,S-001 - Structural Drawing Register Rev C.pdf,03_drawings,2025-09-03,Design / IFC,Consultant Team,Project Team,"Structural register for foundations, basement, vertical structure, and roof.",EV-01,application/pdf,5
03-016,S-100 - Foundation and Piling Plan Rev C.pdf,03_drawings,2025-09-03,Design / IFC,Consultant Team,Project Team,"Piling layout and foundation plan for tower, podium, and transfer elements.",EV-02,application/pdf,3
03-017,S-110 - Pile Schedule and Notes Rev C.pdf,03_drawings,2025-09-03,Design / IFC,Consultant Team,Project Team,"Pile diameters, founding assumptions, and testing requirements.",EV-02,application/pdf,4
03-018,S-201 - Basement Retention and Slab Setout Rev C.pdf,03_drawings,2025-10-20,Design / IFC,Consultant Team,Project Team,Basement slab setout and retention system interface details.,EV-02,application/pdf,3
03-019,S-202 - Basement Wall Reinforcement Rev C.pdf,03_drawings,2025-10-20,Design / IFC,Consultant Team,Project Team,Basement retaining wall reinforcement and construction-joint schedule.,EV-06,application/pdf,4
03-020,S-301 - Transfer Slab Layout Rev C.pdf,03_drawings,2025-11-11,Design / IFC,Consultant Team,Project Team,Transfer slab plan coordinating retail spans and tower load paths.,EV-03,application/pdf,3
03-021,S-401 - Typical Residential Framing Rev B.pdf,03_drawings,2025-12-08,Design / IFC,Consultant Team,Project Team,"Typical residential level framing, slab penetrations, and edge thickening.",EV-03,application/pdf,3
03-022,S-501 - Sketch SK-B-101 Rev C - Waterproofing Upgrade.pdf,03_drawings,2026-03-04,Design / IFC,Consultant Team,Project Team,Basement structural sketch issued with waterproofing upgrade direction.,EV-08,application/pdf,2
03-023,S-502 - Sketch SK-B-102 Rev C - Drainage Cell Interface.pdf,03_drawings,2026-03-04,Design / IFC,Consultant Team,Project Team,Structural sketch coordinating drainage cells and wall build-up at basement perimeter.,EV-08,application/pdf,2
03-024,H-001 - Hydraulic Services Register Rev B.pdf,03_drawings,2025-09-06,Design / IFC,Consultant Team,Project Team,"Hydraulic drawing register for below-ground, wet areas, and fire service layouts.",EV-01,application/pdf,4
03-025,H-101 - Hydraulic Basement Services Layout Rev B.pdf,03_drawings,2025-09-06,Design / IFC,Consultant Team,Project Team,"Pump-out, trade waste, stormwater, and fire service layout for basements.",EV-03,application/pdf,3
03-026,H-201 - Ground Floor Hydraulic Layout Rev B.pdf,03_drawings,2025-09-06,Design / IFC,Consultant Team,Project Team,Ground floor hydraulic layout including retail trade waste and amenities.,EV-03,application/pdf,3
03-027,H-301 - Stormwater and Detention Schematic Rev C.pdf,03_drawings,2025-12-02,Design / IFC,Consultant Team,Project Team,"Detention, OSD, and stormwater discharge schematic with authority hold points.",EV-03,application/pdf,3
03-028,M-001 - Mechanical Services Register Rev B.pdf,03_drawings,2025-09-06,Design / IFC,Consultant Team,Project Team,"Mechanical drawing register for risers, plant, and smoke-control systems.",EV-01,application/pdf,4
03-029,M-101 - Mechanical Plantroom Layout Rev B.pdf,03_drawings,2025-09-06,Design / IFC,Consultant Team,Project Team,"Plantroom layout for chillers, pumps, ventilation, and service clearances.",EV-03,application/pdf,3
03-030,M-201 - Typical Apartment Mechanical Layout Rev B.pdf,03_drawings,2025-10-15,Design / IFC,Consultant Team,Project Team,Typical apartment ventilation and condensate layout coordinated with structure.,EV-03,application/pdf,3
03-031,E-001 - Electrical Services Register Rev B.pdf,03_drawings,2025-09-06,Design / IFC,Consultant Team,Project Team,"Electrical register including lighting, power, communications, and authority interfaces.",EV-01,application/pdf,4
03-032,E-101 - Main Switchboard and Substation Single Line Diagram Rev B.pdf,03_drawings,2025-09-06,Design / IFC,Consultant Team,Project Team,Main switchboard and substation single line diagram issued for authority review.,EV-09,application/pdf,3
03-033,E-201 - Electrical Basement Distribution Layout Rev B.pdf,03_drawings,2025-10-12,Design / IFC,Consultant Team,Project Team,"Electrical distribution boards, risers, and cable tray coordination in basement.",EV-09,application/pdf,3
03-034,E-301 - Security and Access Control Layout Rev A.pdf,03_drawings,2025-11-01,Design / IFC,Consultant Team,Project Team,"Security, CCTV, and access control layout for entries and plant areas.",EV-03,application/pdf,3
03-035,FP-101 - Fire Services Basement Sprinkler Layout Rev B.pdf,03_drawings,2025-10-15,Design / IFC,Consultant Team,Project Team,"Basement sprinkler, hydrant, and hose reel coordination drawing.",EV-03,application/pdf,3
03-036,LS-101 - Landscape and Public Realm Plan Rev A.pdf,03_drawings,2025-11-21,Design / IFC,Consultant Team,Project Team,"Public realm, planting, paving, and kerb-interface drawing for podium frontage.",EV-05,application/pdf,2
04-001,Volume 0 - Specification Index and Conventions.pdf,04_specifications,2025-08-26,Tender / IFC,Consultant Team,Project Team,"Specification index, conventions, abbreviations, and document control rules.",EV-01,application/pdf,18
04-002,Volume 1 - Preliminaries and General Requirements.pdf,04_specifications,2025-08-26,Tender / IFC,Consultant Team,Project Team,"Preliminaries, site establishment, temporary works, quality, and management requirements.",EV-01,application/pdf,84
04-003,"Volume 2 - Demolition, Earthworks, and Retention.pdf",04_specifications,2025-08-26,Tender / IFC,Consultant Team,Project Team,"Demolition, excavation, shoring, dewatering, and retention system requirements.",EV-02,application/pdf,52
04-004,Volume 3 - Piling and Foundations.pdf,04_specifications,2025-08-26,Tender / IFC,Consultant Team,Project Team,"Bored piling, footing preparation, testing, and foundation tolerances.",EV-02,application/pdf,46
04-005,Volume 4 - Structural Concrete and Reinforcement.pdf,04_specifications,2025-08-26,Tender / IFC,Consultant Team,Project Team,"Concrete mixes, reinforcement, formwork, and post-tensioning requirements.",EV-02,application/pdf,72
04-006,Volume 5 - Structural Steel and Metalwork.pdf,04_specifications,2025-08-26,Tender / IFC,Consultant Team,Project Team,"Structural steel, embeds, metalwork, and corrosion protection.",EV-03,application/pdf,34
04-007,Volume 6 - Waterproofing.pdf,04_specifications,2025-08-26,Tender / IFC,Consultant Team,Project Team,"Roofing and below-ground waterproofing systems, warranties, and testing.",EV-08,application/pdf,40
04-008,Volume 7 - Façade and Glazing.pdf,04_specifications,2025-08-26,Tender / IFC,Consultant Team,Project Team,"Façade panels, glazing, balustrades, and combustibility compliance requirements.",EV-07,application/pdf,58
04-009,"Volume 8 - Internal Partitions, Linings, and Joinery.pdf",04_specifications,2025-08-26,Tender / IFC,Consultant Team,Project Team,"Internal wall systems, linings, apartment joinery, and common-area finishes.",EV-03,application/pdf,64
04-010,"Volume 9 - Floor, Wall, and Ceiling Finishes.pdf",04_specifications,2025-08-26,Tender / IFC,Consultant Team,Project Team,"Flooring, tiling, painting, acoustic finishes, and ceiling systems.",EV-10,application/pdf,44
04-011,"Volume 10 - Doors, Hardware, and Access Control.pdf",04_specifications,2025-08-26,Tender / IFC,Consultant Team,Project Team,"Doorsets, hardware schedules, master keying, and access control coordination.",EV-03,application/pdf,28
04-012,Volume 11 - Hydraulic Services.pdf,04_specifications,2025-08-26,Tender / IFC,Consultant Team,Project Team,"Plumbing, drainage, stormwater, fire service, and testing requirements.",EV-03,application/pdf,56
04-013,Volume 12 - Mechanical Services.pdf,04_specifications,2025-08-26,Tender / IFC,Consultant Team,Project Team,"HVAC, ventilation, smoke-control, and BMS integration requirements.",EV-03,application/pdf,61
04-014,Volume 13 - Electrical Services.pdf,04_specifications,2025-08-26,Tender / IFC,Consultant Team,Project Team,"Electrical power, lighting, communications, and authority interface requirements.",EV-09,application/pdf,59
04-015,Volume 14 - Lifts and Vertical Transportation.pdf,04_specifications,2025-08-26,Tender / IFC,Consultant Team,Project Team,"Lift supply, installation, commissioning, and maintenance obligations.",EV-10,application/pdf,24
04-016,Volume 15 - External Works and Landscaping.pdf,04_specifications,2025-08-26,Tender / IFC,Consultant Team,Project Team,"Paving, planting, drainage, street-interface, and public-realm requirements.",EV-05,application/pdf,31
04-017,Addendum 01 - Waterproofing Specification Revision.pdf,04_specifications,2026-03-04,Tender / IFC,Consultant Team,Project Team,Addendum revising below-ground waterproofing requirements after groundwater findings.,EV-08,application/pdf,16
04-018,Addendum 02 - Façade Combustibility Compliance Revision.pdf,04_specifications,2026-02-03,Tender / IFC,Consultant Team,Project Team,Addendum updating façade panel performance requirements to A2-compliant system.,EV-07,application/pdf,14
05-001,250818 - Principal to Contractor - Letter of Intent Confirmation.pdf,05_project_letters,2025-08-18,Tender / Award,Riverside Development Group Pty Ltd,Apex Construction Pty Ltd,Confirms early procurement authority and mobilisation limits pending contract execution.,EV-01,application/pdf,3
05-002,250901 - Superintendent to Contractor - Commence Design Coordination Workshops.pdf,05_project_letters,2025-09-01,Mobilisation,Marshall & Associates Pty Ltd,Apex Construction Pty Ltd,Directions for weekly coordination workshops and document issue protocol.,EV-01,application/pdf,2
05-003,250915 - Principal to Contractor - Site Possession Notice.pdf,05_project_letters,2025-09-15,Mobilisation,Riverside Development Group Pty Ltd,Apex Construction Pty Ltd,Grants possession of site subject to access conditions and protection requirements.,EV-01,application/pdf,3
05-004,250930 - Contractor to Superintendent - Baseline Programme Submission Rev A.pdf,05_project_letters,2025-09-30,Mobilisation,Apex Construction Pty Ltd,Marshall & Associates Pty Ltd,Submission of baseline programme and critical path narrative for review.,EV-01,application/pdf,6
05-005,251007 - Superintendent to Contractor - Programme Review Comments Rev A.pdf,05_project_letters,2025-10-07,Mobilisation,Marshall & Associates Pty Ltd,Apex Construction Pty Ltd,Programme review comments requiring logic revisions and authority milestone clarity.,EV-01,application/pdf,4
05-006,251031 - Contractor to Principal - Monthly Executive Report October 2025.pdf,05_project_letters,2025-10-31,Construction,Apex Construction Pty Ltd,Riverside Development Group Pty Ltd,"Monthly executive report covering mobilisation, excavation progress, safety, and commercial issues.",EV-02,application/pdf,8
05-007,251114 - Superintendent to Contractor - Direction to Price Additional Piling.pdf,05_project_letters,2025-11-14,Construction,Marshall & Associates Pty Ltd,Apex Construction Pty Ltd,Requests detailed pricing and programme impacts arising from revised piling interpretation.,EV-02,application/pdf,3
05-008,251128 - Contractor to Superintendent - Response on Additional Piling Methodology.pdf,05_project_letters,2025-11-28,Construction,Apex Construction Pty Ltd,Marshall & Associates Pty Ltd,"Sets out revised piling methodology, productivity assumptions, and trade impacts.",EV-02,application/pdf,5
05-009,251215 - Contractor to Superintendent - Stormwater Coordination Concerns.pdf,05_project_letters,2025-12-15,Construction,Apex Construction Pty Ltd,Marshall & Associates Pty Ltd,Raises coordination concerns between hydraulic and civil documents for detention and discharge.,EV-03,application/pdf,4
05-010,251223 - Principal to Contractor - Christmas Shutdown Protocol.pdf,05_project_letters,2025-12-23,Construction,Riverside Development Group Pty Ltd,Apex Construction Pty Ltd,"Confirms shutdown rules, security, protection, and emergency contact arrangements.",EV-03,application/pdf,3
05-011,260112 - Contractor to Superintendent - Inclement Weather Impacts Notice Cover.pdf,05_project_letters,2026-01-12,Construction,Apex Construction Pty Ltd,Marshall & Associates Pty Ltd,Covering letter enclosing preliminary weather impacts and site diary extracts.,EV-04,application/pdf,3
05-012,260119 - Contractor to Principal - Laneway B Access Restriction Escalation.pdf,05_project_letters,2026-01-19,Construction,Apex Construction Pty Ltd,Riverside Development Group Pty Ltd,Escalates access restriction caused by adjacent owner and requests principal intervention.,EV-05,application/pdf,4
05-013,260126 - Principal to Contractor - Laneway B Stakeholder Coordination Update.pdf,05_project_letters,2026-01-26,Construction,Riverside Development Group Pty Ltd,Apex Construction Pty Ltd,Provides stakeholder coordination update and interim traffic management expectations.,EV-05,application/pdf,3
05-014,260203 - Superintendent to Contractor - Façade Specification Change Direction Cover.pdf,05_project_letters,2026-02-03,Construction,Marshall & Associates Pty Ltd,Apex Construction Pty Ltd,Covering letter issuing change to A2-compliant façade panel system.,EV-07,application/pdf,3
05-015,260218 - Contractor to Superintendent - Latent Conditions Notice Cover.pdf,05_project_letters,2026-02-18,Construction,Apex Construction Pty Ltd,Marshall & Associates Pty Ltd,Formal covering letter notifying latent conditions and requesting urgent direction.,EV-06,application/pdf,4
05-016,260225 - Superintendent to Contractor - Geotechnical Investigation Requirement.pdf,05_project_letters,2026-02-25,Construction,Marshall & Associates Pty Ltd,Apex Construction Pty Ltd,Requires additional investigation and temporary controls pending further design advice.,EV-06,application/pdf,3
05-017,260304 - Contractor to Superintendent - Revised Excavation Method Statement Cover.pdf,05_project_letters,2026-03-04,Construction,Apex Construction Pty Ltd,Marshall & Associates Pty Ltd,Submits revised excavation and groundwater control method statement.,EV-06,application/pdf,5
05-018,260311 - Superintendent to Contractor - Waterproofing Upgrade Foreshadowed.pdf,05_project_letters,2026-03-11,Construction,Marshall & Associates Pty Ltd,Apex Construction Pty Ltd,Foreshadows revised waterproofing requirements pending structural sketches.,EV-08,application/pdf,3
05-019,260318 - Contractor to Principal - Commercial Impact of Latent Conditions.pdf,05_project_letters,2026-03-18,Construction,Apex Construction Pty Ltd,Riverside Development Group Pty Ltd,Summarises likely time and cost impact of latent conditions and reserve rights.,EV-06,application/pdf,5
05-020,260401 - Principal to Superintendent - Request for Consolidated Delay Assessment.pdf,05_project_letters,2026-04-01,Construction,Riverside Development Group Pty Ltd,Marshall & Associates Pty Ltd,"Requests consolidated view of weather, access, and latent condition delays.",EV-06,application/pdf,2
05-021,260406 - Superintendent to Contractor - Direction to Proceed with Waterproofing Upgrade.pdf,05_project_letters,2026-04-06,Construction,Marshall & Associates Pty Ltd,Apex Construction Pty Ltd,Confirms revised waterproofing scope and directs immediate implementation.,EV-08,application/pdf,3
05-022,260420 - Contractor to Superintendent - Energex Interface Risks Notice.pdf,05_project_letters,2026-04-20,Construction,Apex Construction Pty Ltd,Marshall & Associates Pty Ltd,Raises emerging authority risk around substation review and riser coordination.,EV-09,application/pdf,4
05-023,260505 - Superintendent to Contractor - Riser Clash Resolution Workshop Minutes Cover.pdf,05_project_letters,2026-05-05,Construction,Marshall & Associates Pty Ltd,Apex Construction Pty Ltd,Issues actions from workshop on electrical riser clashes and beam penetrations.,EV-09,application/pdf,4
05-024,260531 - Contractor to Principal - Monthly Executive Report May 2026.pdf,05_project_letters,2026-05-31,Construction,Apex Construction Pty Ltd,Riverside Development Group Pty Ltd,"Executive report on structure progress, delay claims, variations, and authority interfaces.",EV-09,application/pdf,8
05-025,260616 - Principal to Contractor - Retail Tenancy Acoustic Upgrade Request.pdf,05_project_letters,2026-06-16,Construction,Riverside Development Group Pty Ltd,Apex Construction Pty Ltd,Requests acoustic enhancement to retail tenancy plant-room separation following tenant review.,EV-10,application/pdf,3
05-026,260623 - Contractor to Superintendent - Lift Procurement Lead Time Warning.pdf,05_project_letters,2026-06-23,Construction,Apex Construction Pty Ltd,Marshall & Associates Pty Ltd,Warns of extended lift manufacturing lead time and preservation actions.,EV-10,application/pdf,4
05-027,260707 - Superintendent to Contractor - Request for Mitigation Options on Lifts.pdf,05_project_letters,2026-07-07,Construction,Marshall & Associates Pty Ltd,Apex Construction Pty Ltd,Requests formal mitigation options for lift procurement delay and commissioning sequence.,EV-10,application/pdf,3
05-028,260729 - Contractor to Principal - Cost Forecast Update Rev C.pdf,05_project_letters,2026-07-29,Construction,Apex Construction Pty Ltd,Riverside Development Group Pty Ltd,Updated forecast cost report reflecting approved variations and pending claims.,EV-10,application/pdf,6
05-029,260812 - Superintendent to Contractor - Close-Out Planning Workshop Invitation.pdf,05_project_letters,2026-08-12,Construction,Marshall & Associates Pty Ltd,Apex Construction Pty Ltd,Invites project team to early close-out planning workshop and defects strategy session.,EV-10,application/pdf,2
05-030,260831 - Contractor to Principal - Monthly Executive Report August 2026.pdf,05_project_letters,2026-08-31,Construction,Apex Construction Pty Ltd,Riverside Development Group Pty Ltd,"Executive report on façade progress, services rough-in, and pending commercial items.",EV-10,application/pdf,7
05-031,260915 - Principal to Contractor - Retail Leasing Coordination Requirements.pdf,05_project_letters,2026-09-15,Construction,Riverside Development Group Pty Ltd,Apex Construction Pty Ltd,"Sets expectations for leasing inspections, make-good interfaces, and access control.",EV-10,application/pdf,3
05-032,261002 - Superintendent to Contractor - Updated Milestone Reporting Protocol.pdf,05_project_letters,2026-10-02,Construction,Marshall & Associates Pty Ltd,Apex Construction Pty Ltd,"Updates format for milestone reporting, float consumption, and recovery actions.",EV-10,application/pdf,3
06-001,RFI-001 - Basement Waterproofing Interface at Retention Piles.pdf,06_rfi,2025-10-09,Construction,Contractor,Superintendent / Consultants,Clarification sought on continuity of membrane behind capping beam and retention piles.,EV-02,application/pdf,3
06-002,RFI-002 - Piling Founding Levels and Test Pile Criteria.pdf,06_rfi,2025-10-15,Construction,Contractor,Superintendent / Consultants,Requests confirmation of founding assumptions and additional test pile acceptance criteria.,EV-02,application/pdf,3
06-003,RFI-003 - Ground Floor Retail Slab Setdown Discrepancy.pdf,06_rfi,2025-10-28,Construction,Contractor,Superintendent / Consultants,Discrepancy between architectural floor finish zones and structural slab setdowns.,EV-03,application/pdf,3
06-004,RFI-004 - Stormwater Detention Volume Mismatch.pdf,06_rfi,2025-11-06,Construction,Contractor,Superintendent / Consultants,Mismatch between hydraulic detention schedule and civil discharge calculations.,EV-03,application/pdf,3
06-005,RFI-005 - Fire Pump Room Access Clearance.pdf,06_rfi,2025-11-14,Construction,Contractor,Superintendent / Consultants,Clarification required on access and maintenance clearances in fire pump room.,EV-03,application/pdf,3
06-006,RFI-006 - Transfer Slab Penetration Coordination.pdf,06_rfi,2025-11-26,Construction,Contractor,Superintendent / Consultants,Requests coordinated positions for major services penetrations through transfer slab.,EV-03,application/pdf,3
06-007,RFI-007 - Residential Bathroom Acoustic Build-Up.pdf,06_rfi,2025-12-03,Construction,Contractor,Superintendent / Consultants,Clarifies required acoustic build-up and ceiling interface in wet areas.,EV-03,application/pdf,3
06-008,RFI-008 - Façade Panel Combustibility Evidence.pdf,06_rfi,2025-12-10,Construction,Contractor,Superintendent / Consultants,Requests consultant confirmation of acceptable evidence for façade panel combustibility compliance.,EV-07,application/pdf,3
06-009,RFI-009 - Loading Dock Swept Path and Clearance.pdf,06_rfi,2025-12-17,Construction,Contractor,Superintendent / Consultants,Requests confirmation of waste truck swept path and dock clearance allowances.,EV-03,application/pdf,3
06-010,RFI-010 - Laneway B Traffic Controller Staging.pdf,06_rfi,2026-01-18,Construction,Contractor,Superintendent / Consultants,Clarifies traffic-control staging while adjacent owner restricts one side of laneway access.,EV-05,application/pdf,3
06-011,RFI-011 - Rain Event Protection to Excavation Batters.pdf,06_rfi,2026-01-22,Construction,Contractor,Superintendent / Consultants,Requests confirmation of acceptable temporary protection after repeated storm events.,EV-04,application/pdf,3
06-012,RFI-012 - Groundwater Ingress Management Thresholds.pdf,06_rfi,2026-02-19,Construction,Contractor,Superintendent / Consultants,Requests design team criteria for groundwater inflow requiring redesign or changed methodology.,EV-06,application/pdf,3
06-013,RFI-013 - Basalt Encounter and Revised Excavation Line.pdf,06_rfi,2026-02-21,Construction,Contractor,Superintendent / Consultants,Seeks urgent clarification on excavation line adjustments caused by basalt outcrop.,EV-06,application/pdf,3
06-014,RFI-014 - A2 Façade Panel Support Rail Geometry.pdf,06_rfi,2026-02-27,Construction,Contractor,Superintendent / Consultants,Clarifies support-rail geometry after change to A2-compliant façade panel system.,EV-07,application/pdf,3
06-015,RFI-015 - Basement Waterproofing Composite Detail.pdf,06_rfi,2026-03-06,Construction,Contractor,Superintendent / Consultants,Requests consultant-issued detail for membrane termination and drainage-cell buildup.,EV-08,application/pdf,3
06-016,RFI-016 - Podium Planter Box Overflow Strategy.pdf,06_rfi,2026-03-18,Construction,Contractor,Superintendent / Consultants,Clarifies overflow and waterproofing interfaces for podium planter boxes.,EV-08,application/pdf,3
06-017,RFI-017 - Electrical Riser Clash at Grid F7.pdf,06_rfi,2026-04-22,Construction,Contractor,Superintendent / Consultants,Riser clashes with transfer beam depth and requires agreed reroute or structural opening.,EV-09,application/pdf,3
06-018,RFI-018 - Substation Metering Room Ventilation.pdf,06_rfi,2026-05-02,Construction,Contractor,Superintendent / Consultants,Requests authority and mechanical signoff for metering room ventilation arrangement.,EV-09,application/pdf,3
06-019,RFI-019 - Retail Grease Arrestor Maintenance Access.pdf,06_rfi,2026-05-14,Construction,Contractor,Superintendent / Consultants,Clarifies maintenance access and replacement strategy for grease arrestor assembly.,EV-09,application/pdf,3
06-020,RFI-020 - Lift Machine Room Heat Rejection Loads.pdf,06_rfi,2026-06-20,Construction,Contractor,Superintendent / Consultants,Requests final lift supplier heat rejection data for plantroom and shaft ventilation.,EV-10,application/pdf,3
06-021,RFI-021 - Apartment Corridor Acoustic Ceiling Hangers.pdf,06_rfi,2026-07-01,Construction,Contractor,Superintendent / Consultants,Clarifies acceptable hanger systems for corridor acoustic ceiling with services congestion.,EV-10,application/pdf,3
06-022,RFI-022 - Lobby Stone Finishes Alternative Availability.pdf,06_rfi,2026-07-16,Construction,Contractor,Superintendent / Consultants,Seeks approval pathway for equivalent stone due to supplier availability constraints.,EV-10,application/pdf,3
06-023,RFI-023 - Balustrade Wind Load Test Evidence.pdf,06_rfi,2026-08-05,Construction,Contractor,Superintendent / Consultants,Requests final wind load test evidence for custom balustrade system prior to installation.,EV-10,application/pdf,3
